iter	Passed	Remaining
570	28668	21538
571	28751	21513
572	28786	21451
573	28902	21450
574	28962	21406
575	29014	21358
576	29097	21331
577	29146	21280
578	29216	21243
579	29266	21193
580	29337	21157
581	29430	21137
582	29505	21104
583	29588	21076
584	29774	21122
585	29840	21081
586	29900	21037
587	29958	20991
588	30013	20942
589	30070	20896
590	30120	20844
591	30179	20799
592	30241	20755
593	30266	20686
594	30318	20636
595	30369	20586
596	30424	20537
597	30455	20473
598	30494	20414
599	30585	20390
600	30624	20331
601	30667	20275
602	30706	20216
603	30747	20159
604	30855	20145
605	30958	20128
606	31031	20091
607	31124	20066
608	31151	20000
609	31211	19955
610	31251	19896
611	31293	19839
612	31385	19814
613	31445	19768
614	31493	19715
615	31552	19669
616	31585	19606
617	31622	19546
618	31718	19522
619	31752	19460
620	31807	19412
621	31892	19381
622	31987	19357
623	32073	19326
624	32135	19281
625	32206	19241
626	32262	19192
627	32330	19151
628	32382	19100
629	32435	19049
630	32483	18995
631	32535	18944
632	32586	18893
633	32636	18840
634	32673	18780
635	32718	18725
636	32800	18691
637	32829	18627
638	32867	18568
639	32903	18508
640	32961	18460
641	33033	18420
642	33093	18373
643	33146	18322
644	33184	18264
645	33230	18210
646	33274	18154
647	33326	18103
648	33404	18066
649	33440	18006
650	33477	17947
651	33551	17907
652	33583	17845
653	33620	17787
654	33668	17733
655	33744	17695
656	33780	17635
657	33875	17607
658	33921	17552
659	33995	17512
660	34071	17473
661	34139	17430
662	34182	17374
663	34219	17315
664	34268	17263
665	34400	17251
666	34467	17207
667	34539	17166
668	34599	17118
669	34635	17059
670	34676	17002
671	34719	16946
672	34767	16893
673	34834	16848
674	34913	16810
675	34969	16760
676	35084	16738
677	35138	16688
678	35160	16622
679	35191	16560
680	35221	16498
681	35452	16530
682	35496	16475
683	35583	16438
684	35622	16381
685	35682	16332
686	35718	16273
687	35748	16211
688	35798	16158
689	35842	16103
690	35876	16043
691	35909	15982
692	35968	15933
693	35999	15872
694	36038	15815
695	36071	15755
696	36110	15698
697	36229	15675
698	36256	15612
699	36283	15550
700	36403	15527
701	36449	15472
702	36491	15416
703	36556	15370
704	36697	15355
705	36779	15316
706	36820	15259
707	36965	15245
708	37038	15202
709	37109	15157
710	37212	15125
711	37258	15070
712	37295	15012
713	37343	14958
714	37439	14923
715	37496	14872
716	37525	14811
717	37587	14762
718	37624	14704
719	37661	14646
720	37710	14592
721	37746	14534
722	37793	14479
723	37812	14414
724	37835	14351
725	37863	14290
726	37888	14227
727	37904	14162
728	37925	14098
729	37953	14037
730	37970	13972
731	37986	13907
732	38016	13847
733	38034	13783
734	38055	13720
735	38072	13656
736	38086	13591
737	38117	13532
738	38144	13471
739	38171	13411
740	38187	13347
741	38215	13287
742	38241	13227
743	38255	13163
744	38292	13106
745	38308	13043
746	38329	12981
747	38346	12918
748	38364	12856
749	38389	12796
750	38402	12732
751	38427	12672
752	38444	12610
753	38460	12548
754	38494	12491
755	38517	12431
756	38545	12373
757	38562	12311
758	38583	12251
759	38610	12192
760	38629	12132
761	38650	12071
762	38668	12011
763	38698	11953
764	38724	11895
765	38742	11835
766	38769	11777
767	38805	11722
768	38823	11662
769	38847	11603
770	38881	11548
771	38955	11504
772	39022	11459
773	39081	11411
774	39114	11355
775	39154	11302
776	39192	11248
777	39232	11194
778	39261	11138
779	39298	11084
780	39312	11023
781	39331	10964
782	39359	10908
783	39386	10851
784	39413	10794
785	39509	10757
786	39554	10705
787	39572	10646
788	39590	10587
789	39614	10530
790	39635	10472
791	39653	10414
792	39684	10359
793	39731	10308
794	39766	10254
795	39816	10204
796	39864	10153
797	39897	10099
798	39917	10041
799	39954	9988
800	39992	9935
801	40017	9879
802	40040	9823
803	40067	9767
804	40093	9712
805	40122	9657
806	40157	9603
807	40192	9550
808	40216	9494
809	40246	9440
810	40269	9384
811	40315	9334
812	40338	9278
813	40361	9222
814	40387	9167
815	40426	9115
816	40448	9060
817	40477	9005
818	40503	8951
819	40522	8895
820	40548	8840
821	40578	8787
822	40604	8732
823	40629	8678
824	40642	8621
825	40659	8565
826	40679	8509
827	40704	8455
828	40728	8401
829	40744	8345
830	40760	8289
831	40785	8235
832	40810	8181
833	40825	8125
834	40844	8071
835	40883	8020
836	40917	7968
837	40945	7915
838	40998	7867
839	41052	7819
840	41085	7767
841	41131	7718
842	41173	7668
843	41219	7618
844	41243	7565
845	41273	7513
846	41333	7466
847	41387	7418
848	41433	7369
849	41466	7317
850	41482	7263
851	41502	7209
852	41518	7155
853	41539	7101
854	41557	7047
855	41573	6993
856	41591	6940
857	41609	6886
858	41633	6833
859	41649	6780
860	41667	6726
861	41682	6673
862	41699	6619
863	41717	6566
864	41733	6513
865	41754	6460
866	41773	6408
867	41789	6355
868	41810	6302
869	41830	6250
870	41848	6197
871	41864	6145
872	41882	6092
873	41900	6040
874	41919	5988
875	41935	5936
876	41956	5884
877	41975	5832
878	41992	5780
879	42026	5730
880	42043	5678
881	42069	5628
882	42090	5577
883	42109	5525
884	42129	5474
885	42152	5423
886	42169	5372
887	42189	5321
888	42208	5270
889	42228	5219
890	42249	5168
891	42267	5117
892	42287	5066
893	42306	5016
894	42328	4965
895	42346	4915
896	42373	4865
897	42393	4815
898	42410	4764
899	42440	4715
900	42474	4667
901	42511	4618
902	42542	4569
903	42602	4524
904	42814	4494
905	42833	4444
906	42851	4393
907	42866	4343
908	42882	4292
909	42900	4242
910	42918	4192
911	42952	4144
912	42969	4094
913	42989	4045
914	43005	3995
915	43023	3945
916	43040	3895
917	43056	3846
918	43074	3796
919	43092	3747
920	43112	3698
921	43126	3648
922	43141	3599
923	43159	3549
924	43176	3500
925	43196	3451
926	43212	3402
927	43228	3353
928	43244	3305
929	43262	3256
930	43282	3207
931	43298	3159
932	43316	3110
933	43332	3062
934	43348	3013
935	43363	2965
936	43380	2916
937	43398	2868
938	43413	2820
939	43435	2772
940	43451	2724
941	43556	2681
942	43572	2633
943	43590	2585
944	43606	2537
945	43620	2489
946	43636	2442
947	43653	2394
948	43670	2346
949	43688	2299
950	43708	2252
951	43723	2204
952	43738	2157
953	43755	2109
954	43794	2063
955	43827	2017
956	43863	1970
957	43980	1928
958	44023	1882
959	44058	1835
960	44091	1789
961	44112	1742
962	44134	1695
963	44149	1648
964	44166	1601
965	44188	1555
966	44204	1508
967	44221	1461
968	44237	1415
969	44255	1368
970	44274	1322
971	44313	1276
972	44333	1230
973	44350	1183
974	44367	1137
975	44383	1091
976	44402	1045
977	44419	999
978	44436	953
979	44451	907
980	44466	861
981	44482	815
982	44500	769
983	44518	723
984	44532	678
985	44545	632
986	44559	586
987	44569	541
988	44582	495
989	44592	450
990	44605	405
991	44617	359
992	44629	314
993	44642	269
994	44654	224
995	44666	179
996	44678	134
997	44693	89
998	44706	44
999	44717	0
	51
999	51136	0
